snippet,headline__main,year_mo_day,sentiment_analysis,compound,negative,neutral,positive
"For many New Yorkers, the only effective means of temperature control in their buildings is a device known as the ""double-hung windowstat."" In less technical terms: the windows in their apartments.",Some Energy Tips for Too-Hot Buildings,20060101,0.4767,0.4767,0,0.903,0.097
Yulia Tymoshenko was a leader of the Ukranian revolution and of the reform government that rose in its wake a year ago. So why is she now leading a fight to bring that government down?,Bitter Orange,20060101,-0.3818,-0.3818,0.077,0.923,0
"Las Vegas shopping is like most things the town does well: it's simply bigger, better and more fun.","In Las Vegas, Shoppers Are High Rollers",20060101,0.8777,0.8777,0,0.558,0.442
"While jet setters schuss down the groomed slopes of Aspen Mountain, the hard-core ski and snowboard set can be found on the steep, raw terrain at neighboring Aspen Highlands.","Long, Steep and Lovely in Aspen",20060101,0,0,0,1,0
"Thanks for Jesse Green's terrific article (Dec. 18) about figure skating and Emily Hughes. I think he may have overstated the percentage of wealthy families of serious skaters, but it's still a wonderfully intelligent and thoughtful piece.",The Making of an Ice Princess,20060101,0.551667,0.9542,0.024,0.588,0.388
"The word famiglia in a food store's name can be problematic. Named to suggest a homemade quality to the food it sells (perhaps even using nonna's recipe), a famiglia store runs the risk of criticism if it fails to deliver authentic food. But if th...","Quick Bite/Millburn; When in Essex, Shop as the Romans Do",20060101,-0.40623,-0.8658,0.22,0.78,0
"As people wake up from another New Year's Eve, there will be dozens of hangover cures to choose from that go beyond the traditional Alka-Seltzer.",Hangover Helpers: Beyond Sheep Eyes,20060101,0,0,0,1,0
"WILD birds have completed their seasonal migration, and it appears that the United States has dodged the avian flu threat for now. The pattern of the semiannual migration itself provides some protection. On the three main flyways of the Wester...","If the Avian Flu Hasn't Hit, Here's Why. Maybe.",20060101,-0.16463,-0.4939,0.131,0.808,0.061
President Bush is scheduled to return to the White House earlier than usual and start a campaign to set the tone for the remainder of his presidency.,President Uses Vacation to Prepare Agenda for 2006,20060101,0,0,0,1,0
MALIN--Mildred I think of you everyday. I miss you. Love Freya,"Paid Notice: Memorials MALIN, MILDRED",20060101,0.5574,0.5574,0.125,0.547,0.328
"VIKINGS 34, BEARS 10 The ax usually drops on N.F.L. coaches the day after the regular season ends -- that is why it is called Black Monday. But the Minnesota Vikings' owner, Zygi Wilf, got a jump on almost every other team yesterday, firing ...","Minnesota, In a Hurry, Dumps Tice",20060102,-0.17,-0.34,0.053,0.947,0
