snippet,headline__main,year_mo_day,compound,negative,neutral,positive
"Mr. Milliken, a South Carolina textile tycoon, supported Jesse Helms and Strom Thurmond, and promoted a college’s integration.","Roger Milliken, Conservative Tycoon, Dies at 95",201101,0.6249,0,0.733,0.267
"Before a formal inauguration on Saturday, Andrew M. Cuomo was sworn in on Friday night.",Cuomo Is Sworn In as New York’s Governor,201101,0,0,1,0
"Derrek Lee, 35, has 312 home runs, and Baltimore was 21st among the 30 teams in homers last season.",First Baseman Lee to Join the Orioles,201101,0,0,1,0
Kemba Walker had 24 points and 8 rebounds to lead No. 4 Connecticut to a 66-61 overtime victory over visiting South Florida.,UConn Overcomes Poor Shooting and South Florida,201101,-0.296,0.109,0.891,0
"The backup Johan Hedberg made 28 saves, but Martin Brodeur is expected to start in goal on Saturday.",Devils End Losing Streak and Win One for Lemaire,201101,0,0,1,0
"The N.H.L. said the game would be pushed back to 8 p.m. from 1 p.m. on Sunday but that the rain was expected to end by 6 p.m., allowing for acceptable conditions.",Forecast Bumps Winter Classic Into Evening,201101,0.4497,0,0.905,0.095
"The theme of this year’s Winter Classic, to be played at Heinz Field between the Pittsburgh Penguins and the Washington Capitals, is mainly about Sidney Crosby and Alex Ovechkin.","In Classic Matchup, the Penguins’ Star Shines the Brightest",201101,0.34,0,0.921,0.079
"An explosion went off in front of a Coptic Christian church as worshipers emerged from a New Year’s Mass in the northern port city of Alexandria early Saturday, killing at least 7 people and wounding 24, officials said.",Egypt: 7 Die in Coptic Church Explosion,201101,-0.5423,0.112,0.84,0.048
"Before leaving office as New York’s attorney general, Andrew M. Cuomo tied up a loose end from one of his signature campaigns: an investigation of the student loan industry.",Cuomo Names Developers of a Student Loan Center,201101,-0.3182,0.078,0.922,0
"The Albanettes, an all-girl choir from Albany High School, were admittedly nervous about their biggest gig ever, their appearance at the inauguration of Andrew M. Cuomo.",Pre-Inauguration Jitters for a High School Choir,201101,-0.2732,0.077,0.923,0
"Out of a final gift for his dying mother, the artist Tobi Kahn has built a body of work that aspires to bring solace, comfort, a kind of sublimity.",Art Intended to Make the End of Life Beautiful,201101,0.6597,0,0.816,0.184
A far-from-perfect first season as Notre Dame’s coach could not have ended much better for Brian Kelly.,Turbulent Season for Irish Ends With Victory,201101,0.4404,0,0.838,0.162
"Oregon’s Chip Kelly and Wisconsin’s Bret Bielema, both single, illustrate the subtle shift away from a longtime unspoken requirement for head football coaches.","In College, Coaches Can Be Married Only to the Job",201101,0,0,1,0
"Corrections appearing in print on January 1, 2011.",Corrections,201101,0,0,1,0
Why does 2011 still sound like an annum out of science fiction?,A Year Anew,201101,0.3612,0,0.815,0.185
States need to invest much more heavily in programs that prepare people for the G.E.D. The livelihoods of millions of Americans depend on it.,Success and Failure on the G.E.D.,201101,0.2263,0,0.924,0.076
"The system of oversight for the country’s intelligence agencies needs reform. Instead, Congress is continuing to reshuffle the status quo.",Still Tinkering,201101,0.4767,0,0.86,0.14
